text,cluster
more peanut butter.,2
"these whoopee pies' taste are indescribable - and their a lot healthier than normal whoopee pies.  i got them at a baseball game from a man named dave guimond and have made them ever since.  they are a family favorite.  hope you enjoy!  i did have some extra filling, but i just used it for the next time i made it.",2
here's a wholesome and satisfying make-ahead meal that kids will love: salami and cream cheese sandwiches.  recipe is from martha stewart.,6
summer is almost over here in montreal so this soup will be great soon.  this is from ricardo.  and the good thing about this recipe is that it uses only 1 saucepan.  nothing more.,3
recipe by giada delaurentis. a quick and easy dish - great after a tough day at work.,4
"this was soooo yummy!  ina does not claim that it is authentic irish soda bread but says it is delicious and we agree!  next time i'll make it into two smaller loaves since it's pretty big for the two of us.  we had it for breakfast hot out of the oven yesterday and this morning we toasted it and just loved it!  it took more than the 4 cups of flour called for but we had to sift a huge restaurant sack of flour that looked more like plaster of paris, so it could have been because of the double sifting.  try this if you like soda bread!",2
"super easy & quick version of ""chicken a la king"" using ingredients you most likely have on hand.  kid friendly, too.",1
"this was presented at a taste of home cooking school, and is a delectable twist on the classic ",6
"this elegant-looking dessert is easy to make, and the cute wonton ""cups"" can be made in advance. they're a different way to present fresh strawberries when entertaining. the recipe is easy to double, too.",5
"from la to ok she is one amazing woman, and she is a fabulous cook! 
see her website @ www.thepioneerwoman.com",0
"the secret to fluffy pancakes is letting the batter rest and mixing with a light hand. if you have time, make the batter the night before and let it rest in the refrigerator overnight. allow batter to come to room temperature before cooking pancakes. make sure kids don't over-mix when whisking the wet ingredients into the dry.  from the lcbo magazine.",2
"yummy zucchini casserole with no ""cream of anything"" soups.  found this in a newspaper clipping, originally credited to phyllis ambrose.",6
geelrys is one of many south african dishes with roots in the dutch east indies. this sunny yellow side dish is the traditional accompaniment to recipe #456518. enjoy!,0
another healthy dressing.,7
from licence to grill rob rainford.  it was very good.,0
"this is a fantastic recipe that you can prep ahead! i've served these taquitos, sliced in half, as appetizers. the chorizo gives them a nice zing. you may serve these with sour cream and/or guacamole on the side. this is a sandra lee recipe. delish!  **note: the last time i made these, i could only find a 12 oz package of chorizo. i still kept the cheese and salsa amounts the same and it worked out fine.**",3
from the texan restaurant.,0
a quick and easy snack to make in a hurry. i like to add cayenne pepper for some kick.,6
these are made with cranberry orange relish--yum!  they are nice and moist and taste delicious.  if you want to make the relish see my recipe for recipe #202126.,5
this recipe came to me via cafemom newsletter,4
"i found this at allrecipes.com and have made it a bunch of times this summer with beautiful green beans. even my bf who doesn't care for green beans will eat this! the recipe says you can also try it with broccoli instead of the beans. (sometimes i use more chicken broth, just depends on how fast you want them done, and more or less flavor.)",1
squat little biscuits but none the less delicious. serve these for breakfast or anytime you want some comfort. from ina garten,2
a different dessert! great for one of the most healthful fruits!,5
another great recipe from pillsbury,4
"some days the only thing i want to do is let my fingers do the walking and call for take out!  with todays economy, i set the urge aside and find quick and easy meals that are satisfying and delicious.",6
"this appears in the complete book of raw food; placing here for safekeeping. its not loaded with nuts, like most raw recipes, so thats a big plus for me!",4
it's true!  the recipe is off the back of the goya can,4
from 125 best cupcakes recipes.,2
"this is an easy to-the-table meal for two or four. add a salad or an antipasti plate  of olives, mushrooms, and peppers and you have a feast.",7
"i purchased from world market a 16.5 oz. bottle of pumpkin spice syrup by torani with the inscription ""authentic coffehouse flavor"" for $5.99.  according to the ingredient list, it was basically caramel sauce with nutmeg.  that's it...caramel sauce and one spice with no pumpkin whatsoever and expensive.  though it was tasty, in order to get a good infusion of the spice, quite a bit needed to be added to each serving.  the recipe below is basic.  vanilla may be added and can imagine pumpkin puree or caramel sauce being a good addition, as well.",5
a simple fruit and yougurt smoothie.,5
one pan! quick prep! don't remember where it came from but it really is great!,2
recipe courtesy giada de laurentiis,4
"this is a favorite in our home. i believe i got this from 'food & wine""",0
"our friend dennis gave us this recipe, we had it at his house a few times.
his mother would make scones like this because she didn't like the waste when u use a cookie cutter.
points 3.",4
"these little delights are easy and out of this world delicious!  the pita pocket makes a lovely, crispy crust.  i make one of these and pop it into my toaster oven and in about ten minutes have a ""gourmet-style"" lunch.  fantastic for cutting into quarters and serving as party appetizers too.  note:  the tomato, pesto and feta cheese amounts are approximate - put on as much or little of each as you want.",6
"this is a great after-work recipe when things are running late. it takes just 15 minutes from beginning to end if you get your water boiling for the pasta as soon as you walk in the door. this makes enough sauce for about 1 pound of pasta, the variety is up to you! i serve this with crusty bread and a quickly tossed green salad.",3
"another recipe from lindsay, the healthy herbivore.",4
this is a super easy and wonderful mexican rice that can be adjusted for a vegan-friendly side dish as well. great for oamc as it freezes well in ziploc bags for future use. serve it with recipe #299032 299032 and recipe #461100 for a perfect mexican supper.,1
"the restaurant northwoods inn or clearmans serves this slaw.  i normally do not like cabbage, but this salad is delish!",7
this has been part of my oamc rotation for a long time. this recipe easily doubles or triples. make one now and one for later.,4
from an old betty crocker booklet.  great way to use leftover cooked chicken for next day sandwiches.,0
a ton of cookies with varations using one dough recipe.,2
"this is from the river cafe (london), my favorite restaurant! totally rich and sinful.",0
"easy easy easy.  tropical taste with no work, and kid friendly too.",5
try any kind of bean you like!,5
these are very moist and good-don't let the soy or bran scare you off! i had the neighborhood kids eat a whole batch in one day.,2
dbmnmr,0
"this is an easy chimichanga, great for a busy day. i like to cook the chicken ahead, so that dinner can be ready in under 30 minutes. one chimi is good for smaller eaters, two for those hearty appetites. this is a mild dish, unless you add lots of cumin, which makes it great for kids. if you like spicy add a few dashes of hot sauce or a diced jalapeño. after reading a couple of reviews i realized that i too was increasing the sour cream without paying exact attention to the recipe this adapted from. i don't always start with the same amount of chicken so, you want the mix to be slightly wet and gooshy without being drippy, it should cling together.  i sometimes add 1/2 cup of shredded cheese to the mix, but you can leave it out to avoid the extra fat.   serve with your favorite side dishes, i like spanish rice and fruit with this.",1
"no mezi, or hors-d'oeuvre, platter is complete without a dip, and this simple one is intensely flavourful. serve with pitas, flatbreads or crisp vegetables.",6
"(it's the season in middle georgia)
love it because it is simple.
from patti.",0
"i got this recipe from a cookie magazine. they are quick and easy and have been a hit every time. i have made them with almond butter to replace the peanut butter and they were just as good. the dough is a bit crumbly but they seem turn out. they don't seem to last very long, posting it here so i can find it",2
"this chicken is very moist. i usually use club crackers for this and love the buttery flavor in the coating. leftovers (if there are any) reheat well on a baking stone in the oven. i sometimes make another version of the gravy and don't always use the soup. but, the flavor of this compliments the chicken well and is very easy to prepare. the complete meal is served with mashed potatoes, biscuits, corn and a tossed salad....dessert is usually pie!",1
"chicken is marinated in a tropical blend of citrus, rum and spice before being grilled to crispy golden perfection. try this recipe at your next cook-out.  from allrecipes.com",1
"this is from the latest cooking light, i am dying to make it but haven't had a chance yet; want it here so i can get the ingredients after work.",4
this is a recipe i make quite often to bring to parties. very easy and yummy.,4
"back in the 1960's there were the old ben franklin five and dime stores and most of them had a lunch counter with swiveling stools. they also had a might fine little sloppy joe type sandwich which they sold for 23 1/2 cents. one day i asked the girl behind the counter how she made the great little sandwiches and she told me, so i wrote it on one of the napkins. i found the old napkin last week as i was looking through some old files. the little hamburgers were really a treat and the place was usually packed with customers enjoying them.  so here is that special recipe, just as the girl told me back in the 1960's. i adjusted the amounts down to a smaller size, but that is the only change i made.",6
"great appetizer for parties, or after school snack.",5
"my family adores these!  i call them easy because i make the filling in the food processor and use wonton wrappers in place of the homemade dough.  i am including dough recipe for those who want to try it.  you can freeze these before cooking for later use.  you can substitute chicken or shrimp with equally good results. you can steam them or deep fry them, if desired.",2
"the amount of ritz crackers to use is one sleeve, but the recipezaar brain doesn't understand that measurement. it comes out to about a cup when i crush them up using my cuisinart.",2
"i love eating ground beef in my spaghetti sauce. here's another recipe i made up, this time with leftovers i had in the fridge and also what i had on hand in the pantry. we were on a tight budget at the time, so i just threw a bunch of stuff together and it came out quite good and my husband enjoyed it too again, my measurements are all estimated, i apologize.",3
savory yet bright side dish.,6
most of the time broccoli is cooked or steamed. i've seldom been offered this extremely nutritious vegetable as a salad. this one is brimming with goodness!,7
"easy and pretty, not to mention delicious! adapted from an avocado website.",6
tasty and a quick clean-up.  what more could you ask for?,6
"this is a common grilled/skewered chicken in japan, but also officially is considered any type of skewered food in general.  this is the recipe that i found in my ""weber's charcoal grilling - the art of cooking with live fire"".",1
"this is a quick, easy appetizer that you probably already have the ingredients on hand. this comes from an old (circa 1972) sunset cook book of favorite recipes.",4
i got this particular recipe from kid cooking- a very slightly messy manual (kidz klutz press). it's a doozy. i've had people tell me they'd go into a diabetic coma for just one more. they're good. they're easy.,4
this is my favorite way to make oatmeal.  i'm sure you could vary the fruit to get different versions to try.,5
"when in a hurry, this can be a solution. it's tasty, quick and filling.",5
sound a bit odd but quite tasty just be careful how much lemon pepper you put in but it is to your liking,3
"i needed a graham cracker crust so i started with the recipe on the back of the nabisco graham cracker crumbs box & did some embellishing. i also cut the sugar in half.  baking for just 5 minutes 'sets' the crust and when i baked the pie, it did not burn/overcook.  the results were ooh la la.",2
i love flavoured oils but they can be so expensive so these 3 recipes from super food ideas i think will come in very handy.  each recipe makes 1/3 cup and i have put the quantities and times as if making all 3.,4
recipe from kraft.,4
like a thai pizza,6
"another from atco blue flame kitchen.  i never have luck with pies and this looks like something that can be successful for me!  posted it for the strawberry swap, so i hope someone tries it because i already have a huge list of recipes that have been tagged!",2
"this is a quick and wonderful meal great for weeknights and to serve for company.  it is a very flavorful dish that imparts an almost fruity taste due to the combination of the wines and balsamic vinegar.  when i make it, it reminds me of my father-in-law because out of all the dishes i made, this was one of his favorites.  enjoy!",6
meatiness without the meat!,1
"this was wonderful.  it used up the leftover pesto i had, and the partial bags of frozen spinach and tri-colored bell peppers, and the mushrooms that would have gone bad.  i love dinners that use up what i already have.

it is easy to prepare, you just have to give it time to cook, which can be agonizing when you are home from a long day of work and are starving. but i think it was worth it.",6
"low gi, this dish can be served warm with lamb, chicken or fish such as mackerel and swordfish or served cold as a salad. gi news blog.",1
"light & fluffy scrambled eggs, perfect every time!",2
"these are ""adult"" chocolate chip cookies.",2
a refreshing and different melon salad for the 'big kids' in the family. serve as a salad or a healthy dessert. only 85 calories per 1 cup serving!  cooking time equals minimum time for chilling.,7
from norpro where i buy my cooking utensils.,0
"i read some smoothie recipes here, and then modified it to something that i really like (my first try didn't work so well, but this is so healthy and it's like 5 servings of fruit for the day)!",5
a lady in our church choir made these a few times for some of our functions. my mom got the recipe from her. they are super easy and very delicious. we usually use pepperidge farms cinnamon swirl raisin bread for these. good for brunch or just snacking.,4
gotten from allrecipes website,0
this recipe is from the book ,4
this is an old recipe that i have ,4
a delicious gravy that really adds flavour to dishes. it is particularly good for vegetable based dishes. it can be made ahead and stored overnight.,6
"yummy! slurp, slurp.",5
"i was making shrimp scampi on evening and forgot about a side dish. i raided the cabinet and refrigerator and this is the result. it was a big hit. we really like garlic, so you may want to back off on it.",3
"this is how we do butter in texas! you just can’t have too much onion, and the cinnamon works with that sweet onion flavor so well. i created this for my website, smoked 'n grilled.",3
too many cucumbers in your garden this year -- this is a delicious change from the usual use of garden cucumbers. recipe source: local newspaper,7
diabetic friendly,5
"a delicious twist on a philly cheesesteak.  much better for you than the original but still packed with flavor.  although i don't to save time, you can warm the turkey in the pan with peppers and onions before assembling sandwiches.",6
"another winning low carb entree! this calls for bone in chicken breasts with skin, which keeps the meat exceptionally juicy. you could sub skinless, boneless breasts, but make sure to adjust cooking time and temp so the meat does not dry out. from gourmet magazine.",1
"never ate this before i came to the netherlands. it is mostly served as a starter.
originally it is served with little bits of crispy baked bacon but since i do not eat bacon i can not vouch for how the soup tastes when you use it. it is delicious without bacon too!",3
warm steak on cool salad.  vietnamese style.,7
i found this recipe on a pack of mushrooms.  i haven't tried yet but sounds great.,4
"i got the inspiration for this sandwich from recipe #152596 from pets'r'us, but this is a more ""low fat"" rendition of it.
i find also if you heat the bottom of a medium sized skillet, place it on top of the sandwich, and place a tin foil wrapped brick in the pan on top, it will press it just as well as a george foreman grill.",6
greek version of the cuba deliciousness!  posted for zwt #6...,3
"if you can use the microwave then you can make this pie.
refrigeration time not included.",2
this not only looks good it tastes wonderful. great if having company. i have prepared it ahead of time and warmed it in a low oven when my guests arrive,6
this is a very easy and quick dip to make and it's a hit at parties. i make this all the time!you'll love it too.,5
"this is a simple salad to put together but big on flavor! --- you can also make this using salad greens mixed with fresh spinach, i just purchase a smaller bag of prewashed spinach for this, prep time does not include washing and drying the fresh spinach, all salad ingredients may be adjusted to taste --- you will love this salad!",7
"my husband grew up on this and it is my daughter's favorite. it quick, cheap and easy.",0
ragú® recipe contest entry.,4
wonderful on chocolate cake.,2
cooking time is marinating time. if you want the potatoes warm you need to start with hot potatoes and only marinate about 15-20 minutes.,1
"this is a quick & easy, last minute appetizer.  adapted from a recipe i found in one of last year's editions of 'taste of home'.",4
a little like carpetbag steak with a different suprise in the middle to oysters! this is obviously quite hot but you could replace the wasabi paste with a mild mustard if you must. the quantitity shown is enough for two small streaks or one large one. this is how i cooked mine but unless you have a very sharp knife you may find it easier to cut the pocket before marination and possibly while the steak is still partially frozen.,3
i got this recipe from a neighbor years ago. makes a good side dish.,4
"flautas means ""little flutes"" in spanish and refers to the shape of these crispy filled tortillas. the chicken in flavored with chiles, onion, and tomato. at first i was a bit worried about the chicken being too spicy, but once it was cooked with the tortilla wrapped around it the heat was just perfect for us. you might consider using less chiles. from williams sonoma mexican",1
"this glaze came about when the ham my friend bought for easter dinner didn't have the typical glaze packet included.  together we hit on this concoction that everyone at dinner thought was yummy!  we wanted to make enough glaze that we could serve it at the table for individual slices - this way, the person who gets the end of the ham doesn't get all of the glaze and if you get a regular slice you only get a little on the outside.  everyone is able to have glaze with their ham.",2
these are the original bran buds cereal muffins that my auntie anne made for me years ago and are now known by all as auntie anne's muffins.  she has standing orders to have to have the stack of recipes waiting by the door whenever we eat there b/c i'll be asking for every single recipe.  she is that good of a chef.  batter keeps up to 6 weeks in the fridge!  just the right balance of healthy vs. yummo!,2
from the food section of my local newspaper.,0
"wonderful, versatile broccoli. change the cheese and spices as you wish, try basil and mozzarella, parmesan or asiago.",3
